nct_id,lead sponsor,facility,facility status,city,state,zip,country,contact_name,contact_phone,contact_email,contact_backup_email,investigator_name,investigator_role
NCT00001149,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,,,,
NCT00001205,National Institute of Allergy and Infectious Diseases (NIAID),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Recruiting,Bethesda,Maryland,20892,United States,For more information at the NIH Clinical Center contact Patient Recruitment and Public Liaison Office (PRPL),800-411-1222,prpl@mail.cc.nih.gov,,,
NCT00001285,National Institute of Mental Health (NIMH),National Institute of Mental Health (NIMH),,Bethesda,Maryland,20892,United States,,,,,,
NCT00001325,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,,,,
NCT00001546,National Institute of Mental Health (NIMH),National Institute of Mental Health (NIMH),,Bethesda,Maryland,20892,United States,,,,,,
NCT00001656,National Institute of Mental Health (NIMH),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,,,,
NCT00001912,National Institute of Allergy and Infectious Diseases (NIAID),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,,,,
NCT00001912,National Institute of Allergy and Infectious Diseases (NIAID),Universidad Peruana Cayetano Heredia,,Lima,,,Peru,,,,,,
NCT00001919,National Institute of Mental Health (NIMH),National Institute of Mental Health (NIMH),,Bethesda,Maryland,20892,United States,,,,,,
NCT00001920,National Institute of Mental Health (NIMH),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,,,,
NCT00001921,National Institute of Mental Health (NIMH),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,,,,
NCT00004568,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Recruiting,Bethesda,Maryland,20892,United States,For more information at the NIH Clinical Center contact Patient Recruitment and Public Liaison Office (PRPL),800-411-1222,prpl@mail.cc.nih.gov,,,
NCT00004568,National Institute of Neurological Disorders and Stroke (NINDS),Department of Neurology of the Teaching Hospital (CHU) of Point G,Recruiting,Bamako,,,Mali,,,,,,
NCT00005772,NICHD Neonatal Research Network,University of Alabama at Birmingham,,Birmingham,Alabama,35233,United States,,,,,,
NCT00005772,NICHD Neonatal Research Network,Stanford University,,Palo Alto,California,94304,United States,,,,,,
NCT00005772,NICHD Neonatal Research Network,Yale University,,New Haven,Connecticut,6504,United States
NCT00005772,NICHD Neonatal Research Network,University of Miami,,Miami,Florida,33136,United States
NCT00005772,NICHD Neonatal Research Network,Emory University,,Atlanta,Georgia,30303,United States
NCT00005772,NICHD Neonatal Research Network,Indiana University,,Indianapolis,Indiana,46202,United States
NCT00005772,NICHD Neonatal Research Network,Harvard University,,Cambridge,Massachusetts,2138,United States
NCT00005772,NICHD Neonatal Research Network,Wayne State University,,Detroit,Michigan,48201,United States
NCT00005772,NICHD Neonatal Research Network,University of New Mexico,,Albuquerque,New Mexico,87131,United States
NCT00005772,NICHD Neonatal Research Network,RTI International,,Durham,North Carolina,27705,United States
NCT00005772,NICHD Neonatal Research Network,Cincinnati Children's Medical Center,,Cincinnati,Ohio,45267,United States
NCT00005772,NICHD Neonatal Research Network,"Case Western Reserve University, Rainbow Babies and Children's Hospital",,Cleveland,Ohio,44106,United States
NCT00005772,NICHD Neonatal Research Network,"Brown University, Women &amp; Infants Hospital of Rhode Island",,Providence,Rhode Island,2905,United States
NCT00005772,NICHD Neonatal Research Network,University of Tennessee,,Memphis,Tennessee,38163,United States
NCT00005772,NICHD Neonatal Research Network,University of Texas Southwestern Medical Center at Dallas,,Dallas,Texas,75235,United States
NCT00005772,NICHD Neonatal Research Network,University of Texas Health Science Center at Houston,,Houston,Texas,77030,United States
NCT00005925,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States
NCT00006176,National Human Genome Research Institute (NHGRI),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States
NCT00007124,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00009542,National Institutes of Health Clinical Center (CC),Warren G. Magnuson Clinical Center (CC),,Bethesda,Maryland,20892,United States,,,
NCT00010998,National Center for Complementary and Integrative Health (NCCIH),Oregon Health Sciences University/Neurology,,Portland,Oregon,97201,United States,,,
NCT00013845,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Recruiting,Bethesda,Maryland,20892,United States,For more information at the NIH Clinical Center contact Patient Recruitment and Public Liaison Office (PRPL),800-411-1222,prpl@mail.cc.nih.gov
NCT00016562,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00021853,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00024635,National Institute of Mental Health (NIMH),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Recruiting,Bethesda,Maryland,20892,United States,Brenda Gray,877-646-3644,moodresearch@mail.nih.gov
NCT00024791,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00024908,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00024999,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00025701,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00025987,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00028262,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00029939,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00029965,National Human Genome Research Institute (NHGRI),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Recruiting,Bethesda,Maryland,20892,United States,For more information at the NIH Clinical Center contact Patient Recruitment and Public Liaison Office (PRPL),800-411-1222,prpl@mail.cc.nih.gov
NCT00029978,National Center for Complementary and Integrative Health (NCCIH),Bastyr University,,Kenmore,Washington,98028,United States,,,
NCT00032812,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
