nct_id,sponsor_type,overall_status,study_type,start_date,completion_date,phase,brief_title,conditions,interventions,primary_completion_date,,completion_date_type,org_study_id,secondary_id,actual_duration,reported_enrollment,derived_enrollment,enrollment_type,number_of_arms,number_of_facilities,number_of_nsae_subjects,number_of_sae_subjects,registered_in_fiscal_year,results_reported,months_to_report_results,why_stopped,is_section_801,is_fda_regulated,has_expanded_access,has_dmc
NCT00001149,NIH,Completed,Observational,11/1/75,1/1/02,N/A,Monitoring Patients With Uncontrolled Epilepsy,"Epilepsy, Seizures",,,,,750124,,,900,,,,1,0,0,2000,,,,,,0,
NCT00001205,NIH,Recruiting,Observational,7/1/85,,N/A,Treatment of Patients With Cysticercosis With Praziquantel or Albendazole,"Cysticercosis, Neurocysticercosis, Taeniasis","Albendazole, Praziquantel",,,,850127,,,150,,Anticipated,,1,0,0,2000,,,,,0,0,
NCT00001285,NIH,Completed,Observational,8/1/91,6/1/00,N/A,Effects of Sex Hormones on Circadian Rhythm in Men and Women,"Bipolar Disorder, Depression, Depressive Disorder, Disease",,,,,910206,,,73,,,,1,0,0,2000,,,,,,0,
NCT00001325,NIH,Completed,Observational,4/1/92,6/1/04,N/A,Metabolic Abnormalities in Children With Epilepsy,"Epilepsies, Partial, Epilepsy, Epilepsy, Generalized, Metabolic Diseases, Spasms, Infantile",,,,,920175,,,80,,,,1,0,0,2000,,,,,,0,
NCT00001546,NIH,Completed,Observational,5/1/96,6/1/00,N/A,Circadian Regulation of Sleep in Habitual Short Sleepers and Long Sleepers,"Parasomnias, Sleep Disorders",,,,,960087,,,38,,,,1,0,0,2000,,,,,,0,
NCT00001656,NIH,Completed,Interventional,6/1/97,6/1/08,Phase 4,Comparison of Clozapine vs Olanzapine in Childhood-Onset Psychotic Disorders,"Mental Disorders, Psychotic Disorders, Schizophrenia, Schizophrenia, Childhood","Clozapine, Olanzapine",6/1/08,,Actual,970126,,11.01,25,25,Actual,2,1,86,6,2000,1,33,,,0,0,0
NCT00001912,NIH,Completed,Observational,8/1/99,4/1/12,N/A,Brain Tissue Swelling and Seizure Activity in Inactive Cysticercosis,"Cysticercosis, Neurocysticercosis, Seizures, Taeniasis",,,,,990149,,,6,,Actual,,2,0,0,2000,,,,,0,0,
NCT00001919,NIH,Completed,Observational,9/1/99,6/1/02,N/A,Neuroimaging of St. John's Wort-Induced Changes of Serotonin Metabolism in Normal Subjects,Mood Disorders,Serotonin,,,,990151,,,13,,,,1,0,0,2000,,,,,,0,
NCT00001920,NIH,Completed,Observational,8/1/99,6/1/10,N/A,Eye Blink Response in Healthy Volunteers and Adults With Schizophrenia,Schizophrenia,,,,,990166,,,112,,Actual,,1,0,0,2000,,,,,0,0,
NCT00001921,NIH,Enrolling by invitation,Observational,9/1/99,,N/A,Electrophysiology and Blood Flow in Patients With Schizophrenia and Their Siblings,Schizophrenia,,,,,990172,,,1280,,Actual,,1,0,0,2000,,,,,0,0,
NCT00004568,NIH,Recruiting,Observational,2/1/00,,N/A,Study of Inherited Neurological Disorders,"Motor Neuron Disease, Muscular Diseases, Muscular Dystrophies, Nervous System Diseases, Peripheral Nervous System Diseases",,,,,43,,,2500,,Anticipated,,2,0,0,2000,,,,,0,0,
NCT00004773,NIH,Completed,Observational,8/1/95,6/1/97,N/A,Study of Cardiac and Paroxysmal Abnormalities in Rett Syndrome,Rett Syndrome,,,,,199/11798,,,95,,,,0,0,0,2000,,,,,,0,
NCT00005772,NIH,Completed,Interventional,10/1/99,7/1/10,Phase 3,Whole-Body Cooling for Birth Asphyxia in Term Infants,"Brain Ischemia, Hypoxia-Ischemia, Brain",,5/1/03,,Actual,NICHD-NRN-0021,,3.58,208,,Actual,2,16,0,0,2000,,,,,0,0,1
NCT00005925,NIH,Terminated,Interventional,6/1/00,3/1/20,Phase 1,Brain Infusion of Muscimol to Treat Epilepsy,Epilepsy,"Ibotenic Acid, Muscimol",,,Anticipated,158,,,3,,Actual,1,1,0,0,2000,,,,0,1,0,
NCT00006176,NIH,Completed,Observational,8/1/00,8/1/09,N/A,Clinical and Genetic Studies of Familial Presenile Dementia With Neuronal Inclusion Bodies,"Dementia, Epilepsies, Myoclonic, Heredodegenerative Disorders, Nervous System",,8/1/09,,Actual,191,,9.01,100,,,,1,0,0,2000,,,,,0,0,
NCT00007124,NIH,Completed,Observational,12/1/00,11/1/02,N/A,Ketogenic Diet in Lafora Disease,Lafora Disease,,,,,10042,,,15,,,,1,0,0,2001,,,,,,0,
NCT00009542,NIH,Completed,Interventional,1/1/01,4/1/01,Phase 4,Effects of Kava on the Body's Elimination of Caffeine and Dextromethorphan,,Dextromethorphan,,,,10059,,,20,,,,1,0,0,2001,,,,,,0,
NCT00010998,NIH,Completed,Interventional,9/1/99,12/1/04,Phase 2,Yoga: Effect on Attention in Aging &amp; Multiple Sclerosis,"Multiple Sclerosis, Sclerosis",,,,,P50 AT000066-01P3,,,,,,,1,0,0,2001,,,,,,0,
NCT00013845,NIH,Recruiting,Observational,3/1/01,,N/A,Evaluation and Treatment of Patients With Epilepsy,Epilepsy,,,,,10139,,,1500,,Anticipated,,1,0,0,2001,,,,,0,0,
NCT00016562,NIH,Completed,Observational,5/1/01,3/1/08,N/A,Cause and Pathogenesis of Neurometabolic Disorders,Neurodegenerative Diseases,,,,,10174,,,20,,,,1,0,0,2001,,,,,,0,
NCT00021853,NIH,Completed,Interventional,8/1/01,8/1/02,Phase 2,Motor Training to Treat Hand Dystonia,"Dystonia, Dystonic Disorders",,,,,10217,,,15,,,,1,0,0,2001,,,,,,0,
NCT00024635,NIH,Recruiting,Observational,9/1/01,,N/A,Evaluation of Patients With Mood and Anxiety Disorders and Healthy Volunteers,"Anxiety Disorders, Bipolar Disorder, Disease, Mood Disorders",,,,,10254,,,16000,,Anticipated,,1,0,0,2001,,,,,0,0,
NCT00024791,NIH,Completed,Observational,9/1/01,9/1/05,N/A,Eye-Hand Coordination in Children With Spastic Diplegia,Muscle Spasticity,,,,,10260,,,144,,,,1,0,0,2001,,,,,,0,
NCT00024908,NIH,Completed,Observational,10/1/01,4/1/10,N/A,Test of A Model of Representational Knowledge Stored in the Human Prefrontal Cortex,"Brain Diseases, Central Nervous System Diseases, Disease, Mental Disorders, Nervous System Diseases, Psychotic Disorders",,,,,20001,,,949,,Actual,,1,0,0,2002,,,,,0,0,
NCT00024999,NIH,Completed,Observational,10/1/01,9/1/05,N/A,EEG and EMG Analysis of Ideomotor Apraxia,"Apraxia, Ideomotor, Apraxias",,,,,20011,,,60,,,,1,0,0,2002,,,,,,0,
NCT00025701,NIH,Completed,Observational,10/1/01,10/1/10,N/A,EEG and EMG Studies of Hand Dystonia,"Dystonia, Dystonic Disorders",,,,,20010,,,75,,Actual,,1,0,0,2002,,,,,0,0,
NCT00025987,NIH,Completed,Interventional,11/1/01,4/1/03,Phase 1,Temperature Response to a Head-Neck Cooling System,,,,,,20025,,,10,,,,1,0,0,2002,,,,,,0,
NCT00028262,NIH,Completed,Interventional,2/1/01,11/1/13,Phase 4,Cystagon to Treat Infantile Neuronal Ceroid Lipofuscinosis,Neuronal Ceroid-Lipofuscinoses,"Acetylcysteine, Cysteamine",11/1/13,,Actual,10086,,12.76,10,9,Actual,1,1,0,0,2002,1,14,,1,1,0,1
NCT00029939,NIH,Completed,Observational,1/1/02,11/1/10,N/A,Brain Activity During Production of Movement,,,,,,20109,,,140,,Actual,,1,0,0,2002,,,,,0,0,
NCT00029965,NIH,Recruiting,Observational,1/1/02,,N/A,Nervous System Degeneration in Glycosphingolipid Storage Disorders,"Gangliosidoses, Gaucher Disease",,,,,20107,,,150,,Anticipated,,1,0,0,2002,,,,,0,0,
NCT00029978,NIH,Completed,Observational,9/1/00,1/1/04,N/A,Transfer of Neural Energy Between Humans,,,,,,R21AT000287-01,,,60,,,,1,0,0,2002,,,,,,0,
NCT00032812,NIH,Completed,Observational,3/1/02,4/1/04,N/A,The Role of Dopamine in Motor Learning in Healthy Subjects and Patients With Parkinson's Disease,Parkinson Disease,Raclopride,,,,20153,,,64,,,,1,0,0,2002,,,,,,0,
NCT00033995,NIH,Completed,Observational,4/1/02,2/1/09,N/A,Study of Tics in Patients With Tourette's Syndrome and Chronic Motor Tic Disorder,"Syndrome, Tic Disorders, Tics, Tourette Syndrome",,,,,20175,,,46,,,,1,0,0,2002,,,,,0,0,
NCT00036595,NIH,Completed,Observational,5/1/02,5/1/06,N/A,Functional Coupling of Cortico-Cortical and Cortico-Muscular Connections During Motor Movements: An Electrocorticographic Study of Ipsilateral Motor Control,,,,,,20199,,,20,,,,1,0,0,2002,,,,,,0,
NCT00044252,NIH,Completed,Observational,7/1/02,1/1/08,N/A,Role of Hormones in Susceptibility to Seizures in Women With Epilepsy,"Disease Susceptibility, Epilepsy",,,,,20256,,,50,,,,1,0,0,2002,,,,,,0,
NCT00046189,NIH,Recruiting,Observational,9/1/02,,N/A,Cancer Risk in Carriers of the Gene for Xeroderma Pigmentosum,"Carcinoma, Carcinoma, Basal Cell, Carcinoma, Squamous Cell, Skin Neoplasms, Xeroderma Pigmentosum",,,,,20313,,,800,,Anticipated,,1,0,0,2002,,,,,0,0,
NCT00048490,NIH,Completed,Interventional,10/1/02,10/1/04,Phase 2,Transcranial Magnetic Stimulation to Treat Epilepsy,Epilepsy,,,,,30024,,,70,,,,1,0,0,2003,,,,,,0,
NCT00048698,NIH,Completed,Interventional,11/1/02,10/1/05,Phase 1,Effects of Direct Current Brain Stimulation on Cognition,,,,,,30017,,,170,,,,1,0,0,2003,,,,,,0,
NCT00049738,NIH,Recruiting,Observational,10/1/02,,N/A,Screening for Childhood-Onset Psychotic Disorders,"Disease, Mental Disorders, Psychotic Disorders, Schizophrenia",,,,,30035,,,250,,Anticipated,,1,0,0,2003,,,,,0,0,
NCT00051961,NIH,Completed,Observational,1/1/03,10/1/07,N/A,Effect of Ropinirole on Spinal Cord Reflexes and Restless Legs Syndrome,"Psychomotor Agitation, Restless Legs Syndrome, Syndrome",,,,,30075,,,90,,,,1,0,0,2003,,,,,,0,
NCT00054990,NIH,Completed,Observational,2/1/03,3/1/04,N/A,Effects of Antiepileptic Drugs on Brain Excitability,,Anticonvulsants,,,,30107,,,40,,,,1,0,0,2003,,,,,,0,
NCT00056420,NIH,Completed,Observational,3/1/03,1/1/09,N/A,Brain Dynamics Involved in Generating Tics and Controlling Voluntary Movement,"Syndrome, Tic Disorders, Tics, Tourette Syndrome",,,,,30126,,,54,,,,1,0,0,2003,,,,,0,0,
NCT00056888,NIH,Completed,Observational,3/1/03,2/1/09,N/A,Neurophysiological Studies in Patients With Paroxysmal Hyperkinetic Movement Disorders,"Disease, Hyperkinesis, Movement Disorders",,,,,30134,,,115,,,,1,0,0,2003,,,,,0,0,
NCT00057460,NIH,Completed,Interventional,4/1/03,5/1/06,Phase 2,Effect of Talampanel (an AMPA Receptor Blocker) on Brain Activity,,,,,,30147,,,25,,,,1,0,0,2003,,,,,,0,
NCT00059501,NIH,Completed,Observational,4/1/03,3/1/05,N/A,Postural Control in the Elderly,,,,,,30165,,,45,,,,1,0,0,2003,,,,,,0,
NCT00063284,NIH,Completed,Interventional,6/1/03,4/1/09,Phase 1,Investigating the Safety of srTMS in the Treatment of Parkinson's Disease,Parkinson Disease,,,,,30220,,,10,,,1,1,0,0,2003,,,,,0,0,
