ct_pma_id,nct_id,pma_number,supplement_number
85605,NCT00740870,H080002,NULL
85606,NCT00010374,H090003,NULL
85607,NCT00420719,H090003,NULL
85608,NCT00700531,H100001,NULL
85609,NCT00010374,H100006,NULL
85610,NCT00420719,H100006,NULL
85611,NCT01082185,H100008,NULL
85612,NCT01092117,H100008,NULL
85613,NCT01097772,H100008,NULL
85614,NCT00407602,H110002,NULL
85615,NCT00808236,H130003,NULL
85616,NCT01163578,H130004,NULL
85617,NCT01625221,H130006,NULL
85618,NCT00442286,H130007,NULL
85619,NCT01077180,H130007,NULL
85620,NCT01777607,H140001,NULL
85621,NCT00466206,H140004,NULL
85622,NCT01327274,H140004,NULL
85623,NCT01159431,H150002,NULL
85624,NCT01343563,H150002,NULL
85625,NCT01388530,H150002,NULL
85626,NCT02105376,H150002,NULL
85627,NCT00764530,N980003,S008
85628,NCT00447590,P000008,S016
85629,NCT00570505,P000008,S017
85630,NCT00336284,P000009,S033
85631,NCT01761162,P000009,S057
85632,NCT00747435,P000025,S084
85633,NCT00291525,P000037,S030
85634,NCT01197547,P000040,S029
85635,NCT00906789,P000041,S009
85636,NCT00180271,P010012,S230
85637,NCT00267098,P010015,S205
85638,NCT00379236,P010029,S008
85639,NCT02122549,P010030,S067
85640,NCT00251251,P010031,S232
85641,NCT00267098,P010031,S381
85642,NCT00271154,P010031,S232
85643,NCT00279279,P010031,S131
85644,NCT00980057,P010031,S318
85645,NCT00980057,P010031,S442
85646,NCT01751022,P010031,S442
85647,NCT01394978,P010047,S036
85648,NCT01272271,P010062,S008
85649,NCT01883999,P020004,S123
85650,NCT00778531,P020012,S009
85651,NCT00778531,P020012,S011
85652,NCT01559922,P020012,S009
85653,NCT01327105,P020014,S041
85654,NCT00875563,P020018,S040
85655,NCT00713700,P020024,S037
85656,NCT00378612,P020026,S065
85657,NCT01426425,P020045,S073
85658,NCT01028378,P020050,S012
85659,NCT01699087,P020050,S023
85660,NCT00689871,P020056,S009
85661,NCT01140477,P030002,S027
85662,NCT00614510,P030011,S007
85663,NCT00614510,P030011,S011
85664,NCT00733447,P030011,S007
85665,NCT00733447,P030011,S011
85666,NCT00733447,P030011,S020
85667,NCT00371475,P030025,S086
85668,NCT00116428,P030031,S011
85669,NCT01402700,P030045,S002
85670,NCT00360932,P030050,S017
85671,NCT00753922,P030053,S007
85672,NCT00763698,P030054,S130
85673,NCT00916929,P030054,S196
85674,NCT00517751,P040001,S016
85675,NCT00517751,P040001,S018
85676,NCT00534092,P040001,S021
85677,NCT01070069,P040002,S039
85678,NCT00365989,P040003,S006
